Name,WHO.Region,Cases_cumulative.total,Cases_cumulative.total.per.100000.population,Cases_newly.reported.in.last.7.days,Cases_newly.reported.in.last.7.days.per.100000.population,Cases_newly.reported.in.last.24.hours,Death_cumulative.total,Deaths_cumulative.total.per.100000.population,Deaths_newly.reported.in.last.7.days,Deaths_newly.reported.in.last.7.days.per.100000.population,Deaths_newly.reported.in.last.24.hours,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0,8/21/2022,10057975,4821579,98.577,47.256,4558313,44.676,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/13/2021,10,682211,6.686
Kazakhstan,Europe,1484932,7908.373,295,1.571,16,19052,101.466,0,0,0,10/9/2022,32989949,12348706,175.7,65.766,13009889,69.287,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,RIBSP - QazVac,Sinovac - CoronaVac",4/7/2021,5,6540409,34.833
Kenya,Africa,339113,630.658,329,0.612,35,5678,10.56,0,0,0,9/25/2022,21522783,13610115,40.027,25.311,10146842,18.87,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/5/2021,5,1568659,2.917
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0,9/26/2022,182923,93685,153.139,78.431,70464,58.991,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",5/26/2021,2,18774,15.717
Kuwait,Eastern Mediterranean,662073,15503.149,185,4.332,0,2568,60.132,2,0.047,0,10/23/2022,8227208,3447845,192.649,80.735,3339301,78.193,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/28/2020,10,1440062,33.721
Kyrgyzstan,Europe,206452,3164.408,53,0.812,53,2991,45.845,0,0,0,10/9/2022,2980022,1468553,45.7,22.509,1299738,19.922,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,RIBSP - QazVac",3/31/2021,6,211731,3.245
Lao People's Democratic Republic,Western Pacific,216229,2971.991,52,0.715,0,757,10.405,0,0,0,9/30/2022,12388167,5939256,170.271,81.633,5293537,72.758,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11/25/2020,8,1916136,26.337
Latvia,Europe,951164,49859.856,2553,133.828,0,6053,317.297,12,0.629,0,9/18/2022,2847648,1303023,149.3,68.304,1271589,66.656,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/30/2020,5,541299,28.375
Lebanon,Eastern Mediterranean,1218630,17854.22,548,8.029,0,10705,156.84,6,0.088,0,10/20/2022,5797147,2733290,84.934,40.046,2408849,35.292,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/14/2021,10,655008,9.597
Lesotho,Africa,34490,1609.99,0,0,0,706,32.956,0,0,0,8/14/2022,1102069,1631364,51.444,76.152,872661,40.736,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3/10/2021,3,61789,2.884
Liberia,Africa,7996,158.096,3,0.059,0,294,5.813,0,0,0,10/16/2022,4179219,3692705,82.631,73.012,3511588,69.431,SII - Covishield,4/1/2021,1,1987,0.039
Libya,Eastern Mediterranean,507034,7379.02,10,0.146,0,6437,93.68,0,0,0,10/2/2022,3716080,2308724,54.081,33.6,1229888,17.899,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",4/11/2021,10,177468,2.583
Liechtenstein,Europe,20579,53111.209,24,61.94,0,85,219.372,0,0,0,4/10/2022,71104,26681,183.5,68.86,26346,67.995,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/6/2021,3,18310,47.255
Lithuania,Europe,1268046,45383.148,2838,101.572,34,9393,336.174,13,0.465,2,10/16/2022,4495684,1954870,160.9,70.118,1905239,68.188,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,5,897820,32.133
Luxembourg,Europe,302221,48269.787,1210,193.257,0,1145,182.876,3,0.479,0,10/16/2022,1318917,469322,210.7,74.959,462706,73.902,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/30/2020,5,367245,58.655
Madagascar,Africa,66746,241.038,40,0.144,0,1411,5.096,0,0,0,10/16/2022,2017607,1738967,7.286,6.28,1669079,6.028,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",5/10/2021,3,238771,0.862
Malawi,Africa,88073,460.393,0,0,0,2683,14.025,0,0,0,10/9/2022,5619203,3748590,29.374,19.595,2949082,15.416,"Janssen - Ad26.COV 2-S,SII - Covishield",3/11/2021,2,197226,1.031
Malaysia,Western Pacific,4900051,15139.502,17992,55.589,3296,36466,112.668,22,0.068,3,10/15/2022,72160624,28105982,222.952,86.838,27514954,85.012,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/24/2021,8,16244597,50.19
Maldives,South-East Asia,185364,34292.121,84,15.54,0,308,56.98,0,0,0,10/17/2022,951199,399126,175.971,73.838,385014,71.227,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/1/2021,8,167059,30.906
Mali,Africa,32731,161.628,15,0.074,0,742,3.664,0,0,0,10/16/2022,3489536,2550281,17.232,12.593,2026135,10.005,SII - Covishield,3/31/2021,1,NA,NA
Malta,Europe,115338,22414.704,123,23.904,0,808,157.026,0,0,0,10/2/2022,1273626,450426,247.5,87.535,444814,86.445,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,4,352052,68.418
Marshall Islands,Western Pacific,15375,25973.916,0,0,0,17,28.719,0,0,0,9/26/2022,103067,43458,174.117,73.416,36633,61.886,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/29/2020,3,18559,31.353
Martinique,Americas,223728,59618.669,898,239.298,0,1047,279.003,0,0,0,10/21/2022,394620,150477,105.158,40.099,145282,38.715,Pfizer BioNTech - Comirnaty,,1,92353,24.61
Mauritania,Africa,63349,1362.444,69,1.484,0,997,21.442,0,0,0,10/9/2022,3252274,2006570,69.947,43.155,1424954,30.646,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/26/2021,2,294874,6.342
Mauritius,Africa,265301,20860.802,0,0,0,1032,81.147,0,0,0,10/16/2022,2609899,1123773,205.218,88.363,1088142,85.561,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",1/26/2021,3,638510,50.206
Mexico,Americas,7108686,5513.483,1821,1.412,0,330353,256.221,22,0.017,0,10/21/2022,223158993,97179493,173.082,75.372,81849962,63.483,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/24/2020,7,57014052,44.22
Micronesia (Federated States of),Western Pacific,22203,19303.096,0,0,0,55,47.817,0,0,0,8/20/2022,170346,70204,148.097,61.035,66174,57.531,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/13/2021,4,30537,26.549
Monaco,Europe,14948,38089.899,55,140.149,0,65,165.63,1,2.548,0,1/2/2022,58294,23460,148.5,59.78,23356,59.515,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax - Covavax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",6/30/2021,6,11478,29.248
Mongolia,Western Pacific,984823,30040.753,346,10.554,0,2131,65.003,0,0,0,10/14/2022,5660726,2283006,172.673,69.64,2183583,66.607,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/23/2021,6,1055153,32.186
Montenegro,Europe,282722,45014.983,447,71.171,54,2785,443.428,0,0,0,10/16/2022,526813,272544,83.9,43.826,254269,40.888,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2/24/2021,5,0,0
Montserrat,Americas,1403,28065.613,0,0,0,8,160.032,0,0,0,10/21/2022,4564,2104,91.298,42.088,1950,39.008,AstraZeneca - Vaxzevria,2/8/2021,1,510,10.202
